E,X,S,cal,loomin,IS,OOS,robust
2,4,2,3.302270715199034,2.8885652597375073,1.7776679428038857,6.5608429482888555,1.7776679428038857
2,4,3,3.1392382345794734,2.892361367483942,2.0163255099476562,5.0828450742238696,2.0163255099476562
2,4,4,2.539697040376221,2.2381210757108727,1.6045637026345072,4.756708213437961,1.6045637026345072
2,5,2,3.9822621809487706,3.8967461571190083,1.8021440732714171,8.018416780236812,1.8021440732714171
2,5,3,2.8576390587299794,2.8256049566451145,1.8009199333188544,4.658675722935024,1.8009199333188544
2,5,4,2.144246277071665,2.046321493783198,1.3044557106179637,3.4456286656101502,1.3044557106179637
2,6,2,3.703848309275604,3.378998201948985,2.0340982110574304,6.607234639779376,2.0340982110574304
2,6,3,2.800308467722324,2.800308467722324,1.523996687349274,4.949349152840237,1.523996687349274
2,6,4,1.989329195115001,1.9814090560446778,1.1927637955556276,3.284799685955751,1.1927637955556276
2,7,2,2.879995176987182,2.879995176987182,1.8348729518409113,5.030606550622193,1.8348729518409113
2,7,3,2.5857296243639185,2.4002639141098276,1.3183905218832634,4.90535610414052,1.3183905218832634
2,7,4,2.1001148763763395,2.0080198758049175,1.2783381552423854,3.4411649442793446,1.2783381552423854
2,8,2,2.8033139047418594,2.5316601766450737,1.5166079919522077,5.474512958913278,1.5166079919522077
2,8,3,2.3781959786360023,2.275830441548002,1.2039910485054892,4.505092172708243,1.2039910485054892
2,8,4,1.9691520118348143,1.8951769082968652,1.1924069601841059,3.1901133048004415,1.1924069601841059
2,10,2,2.932323948341198,1.9218548129720958,1.324098876705738,5.860707515626882,1.324098876705738
2,10,3,2.430762848779041,2.375494302769434,1.2656369812138608,4.8854335453150295,1.2656369812138608
2,10,4,1.6657220102448622,1.6029306734818753,0.9459741524729157,2.7119999788324116,0.9459741524729157
3,4,3,3.838552470837376,3.026099683743495,1.9070046078585976,7.066633238950933,1.9070046078585976
3,4,4,3.3035435639692183,2.540251708918603,1.9532730683569695,5.305895096676005,1.9532730683569695
3,5,3,4.015496705393901,3.1774744574166975,1.9953207438635991,7.772608767962254,1.9953207438635991
3,5,4,2.9826616245015063,2.6038974046568537,1.6375145752082392,5.1225171120717,1.6375145752082392
3,6,3,4.427443135263342,3.148860230187946,2.1656000692082187,8.92072159438156,2.1656000692082187
3,6,4,2.942833921411335,2.4036021758601462,1.458415118340749,5.270604415937654,1.458415118340749
3,7,3,4.23938848723682,2.8163372492717924,1.7517308787870347,9.074624428202593,1.7517308787870347
3,7,4,2.7187590362640752,2.2600426415085493,1.3014618587297264,5.247299825684287,1.3014618587297264
3,8,3,4.057781051394006,2.5932682048319915,1.5687131548171123,8.944480029788291,1.5687131548171123
3,8,4,2.649326849293991,2.3834276119412063,1.236975933801703,5.029677680807848,1.236975933801703
3,10,3,2.8843678494880103,2.4901525433015874,1.44314450739199,5.270212100104783,1.44314450739199
3,10,4,2.548811048085892,2.221774731331054,1.029547692723864,5.125017102837345,1.029547692723864
4,4,4,3.693312360262471,2.840184617510294,2.148202622152002,6.125605368367522,2.148202622152002
4,5,4,3.088983351102309,2.5577162676684098,1.8576849249046679,5.16300298904531,1.8576849249046679
4,6,4,2.903291181354509,2.539614980673258,1.5972564768572832,5.308634573923577,1.5972564768572832
4,7,4,2.9808372040679734,2.384669242671253,1.3691905296019482,5.6748083851766955,1.3691905296019482
4,8,4,2.8636954466783564,2.829091954215971,1.7002925404637408,5.070513796087224,1.7002925404637408
4,10,4,2.351580237104144,2.1336159519520836,1.154194552290167,4.281582713510431,1.154194552290167
