version,period,cal,cagr,mdd
baseline,7.8y,3.861,137.96,35.73
baseline,5.25y,4.555,117.92,25.89
baseline,2018H2-19,6.286,208.71,33.2
baseline,2020-21,2.582,94.89,36.75
baseline,2022-23,4.188,83.14,19.85
baseline,2024-26,7.351,190.3,25.89
baseline,2019,24.184,681.44,28.18
baseline,2020,4.005,147.2,36.75
baseline,2021,2.677,59.91,22.38
baseline,2022,3.669,62.16,16.94
baseline,2023,4.485,89.04,19.85
baseline,2024,8.539,221.05,25.89
baseline,2025,4.149,92.56,22.31
baseline,2026,23.072,552.72,23.96
provisional,7.8y,3.593,128.36,35.72
provisional,5.25y,3.49,100.79,28.88
provisional,2018H2-19,7.485,232.32,31.04
provisional,2020-21,2.44,88.37,36.21
provisional,2022-23,4.675,81.5,17.43
provisional,2024-26,5.201,150.2,28.88
provisional,2019,24.169,709.49,29.36
provisional,2020,4.115,149.01,36.21
provisional,2021,2.109,48.09,22.81
provisional,2022,2.938,51.16,17.41
provisional,2023,5.69,99.19,17.43
provisional,2024,6.396,174.86,27.34
provisional,2025,2.244,64.81,28.88
provisional,2026,20.462,490.19,23.96
