기간,전략,E,X,S,CAGR(%),MDD(%),Calmar,Sharpe,누적(%),보유수,벤치CAGR(%),알파(%)
2026 YTD (1~5월),v80 baseline,3,6,3,1151.23,23.96,48.055,3.435,129.84,2.8,0.0,1151.23
2026 YTD (1~5월),Top 3 균등,3,3,3,682.31,25.27,27.0,2.753,96.9,2.5,0.0,682.31
2026 YTD (1~5월),Top 5 균등,5,5,5,697.04,22.98,30.328,3.126,98.11,4.5,0.0,697.04
2026 YTD (1~5월),Top 10 균등,10,10,10,806.79,22.39,36.037,3.541,106.71,8.7,0.0,806.79
2026 YTD (1~5월),Top 15 균등,15,15,15,420.26,20.67,20.332,2.921,72.15,13.1,0.0,420.26
2026 YTD (1~5월),Top 20 균등,20,20,20,420.99,20.26,20.778,2.992,72.23,16.9,0.0,420.99
2026 YTD (1~5월),Top 5 (X10),5,10,5,525.7,22.41,23.459,2.876,82.93,4.8,0.0,525.7
2026 YTD (1~5월),Top 10 (X15),10,15,10,900.47,20.46,44.015,3.691,113.52,9.4,0.0,900.47
2026 YTD (1~5월),Top 20 (X25),20,25,20,363.82,20.84,17.458,2.837,65.76,18.4,0.0,363.82
2026 YTD (1~5월),Top 5 균등 (TS off),5,5,5,697.04,22.98,30.328,3.126,98.11,4.5,0.0,697.04
2024~2026 (2.3년),v80 baseline,3,6,3,145.12,48.06,3.019,1.804,684.57,2.7,0.0,145.12
2024~2026 (2.3년),Top 3 균등,3,3,3,112.13,53.56,2.094,1.505,462.89,2.4,0.0,112.13
2024~2026 (2.3년),Top 5 균등,5,5,5,110.14,48.44,2.274,1.673,450.82,4.0,0.0,110.14
2024~2026 (2.3년),Top 10 균등,10,10,10,116.08,31.84,3.646,2.053,487.27,8.4,0.0,116.08
2024~2026 (2.3년),Top 15 균등,15,15,15,88.34,31.13,2.837,1.873,328.26,12.8,0.0,88.34
2024~2026 (2.3년),Top 20 균등,20,20,20,75.24,27.39,2.747,1.749,262.89,16.7,0.0,75.24
2024~2026 (2.3년),Top 5 (X10),5,10,5,119.33,40.83,2.922,1.857,507.7,4.6,0.0,119.33
2024~2026 (2.3년),Top 10 (X15),10,15,10,118.98,30.27,3.931,2.124,505.52,9.3,0.0,118.98
2024~2026 (2.3년),Top 20 (X25),20,25,20,81.22,25.37,3.202,1.871,292.0,18.1,0.0,81.22
2024~2026 (2.3년),Top 5 균등 (TS off),5,5,5,123.1,48.44,2.541,1.763,532.03,4.1,0.0,123.1
2021~2026 (5.3년),v80 baseline,3,6,3,36.51,74.01,0.493,0.859,409.25,2.7,0.0,36.51
2021~2026 (5.3년),Top 3 균등,3,3,3,22.53,78.52,0.287,0.643,189.36,2.4,0.0,22.53
2021~2026 (5.3년),Top 5 균등,5,5,5,31.32,52.91,0.592,0.839,315.83,4.1,0.0,31.32
2021~2026 (5.3년),Top 10 균등,10,10,10,35.57,47.16,0.754,1.036,391.24,8.4,0.0,35.57
2021~2026 (5.3년),Top 15 균등,15,15,15,34.55,38.71,0.893,1.082,372.24,12.8,0.0,34.55
2021~2026 (5.3년),Top 20 균등,20,20,20,30.01,39.56,0.759,1.006,294.6,16.6,0.0,30.01
2021~2026 (5.3년),Top 5 (X10),5,10,5,30.76,60.25,0.511,0.859,306.65,4.6,0.0,30.76
2021~2026 (5.3년),Top 10 (X15),10,15,10,37.93,47.75,0.794,1.101,437.64,9.3,0.0,37.93
2021~2026 (5.3년),Top 20 (X25),20,25,20,31.3,41.62,0.752,1.049,315.41,18.0,0.0,31.3
2021~2026 (5.3년),Top 5 균등 (TS off),5,5,5,34.82,52.91,0.658,0.893,377.14,4.1,0.0,34.82
