rebalance_date,next_date,tickers,n_stocks
20150331,20150630,"['000830', '003600', '117930']",3
20150630,20150930,"['000830', '003600']",2
20160630,20160930,['068870'],1
20170630,20170930,['079440'],1
20220930,20221231,['003410'],1
20230630,20230930,"['005930', '373220', '000660', '207940', '051910', '006400', '005380', '000270', '035420', '003670', '068270', '012330', '035720', '066570', '028260', '096770', '003550', '032830', '015760', '352820']",20
20240930,20241231,"['005930', '000660', '373220', '207940', '005380', '068270', '000270', '035420', '006400', '051910', '028260', '012330', '003670', '032830', '066570', '259960', '329180', '000810', '035720', '010130']",20
20250331,20250630,"['005930', '000660', '373220', '207940', '005380', '000270', '068270', '035420', '012450', '329180', '012330', '042660', '028260', '035720', '051910', '011200', '096770', '000810', '032830', '010130']",20
20250630,20250930,"['005930', '000660', '207940', '373220', '034020', '005380', '035420', '012450', '000270', '329180', '068270', '028260', '035720', '012330', '009540', '032830', '015760', '042660', '402340', '011200']",20
20250930,20251231,"['005930', '000660', '373220', '207940', '012450', '329180', '005380', '035420', '034020', '068270', '000270', '042660', '028260', '032830', '009540', '012330', '402340', '035720', '064350', '015760']",20
